Date,Demand,RRP,pDemand,pRRP,nDemand,nRRP,FracNegative,Minimum Temperature,Maximum Temperature,SchoolDay,Holiday
2015-07-08,141696.295,40.583806852183386,141696.295,40.583806852183386,0.0,0.0,0.0,4.9,14.8,N,N
2015-07-09,141994.37500000003,38.517273543054074,141994.37500000003,38.517273543054074,0.0,0.0,0.0,6.5,13.4,N,N
2015-07-10,136884.09499999994,32.28845537423469,136884.09499999994,32.28845537423469,0.0,0.0,0.0,7.6,14.3,N,N
2015-07-11,123971.70499999997,30.62181990761522,123971.70499999997,30.62181990761522,0.0,0.0,0.0,10.9,13.1,N,N
2015-07-12,124790.69500000005,33.152119046616406,124790.69500000005,33.152119046616406,0.0,0.0,0.0,3.4,12.3,N,N
2015-07-13,138680.33500000002,47.52630152934085,138680.33500000002,47.52630152934085,0.0,0.0,0.0,6.1,12.7,N,N
2015-07-14,150671.105,45.25558280965682,150671.105,45.25558280965682,0.0,0.0,0.0,8.1,9.8,Y,N
2015-07-15,151270.54000000007,50.497418203174234,151270.54000000007,50.497418203174234,0.0,0.0,0.0,5.8,10.5,Y,N
2015-07-16,144797.98,40.47170764122537,144797.98,40.47170764122537,0.0,0.0,0.0,6.6,12.3,Y,N
2015-07-17,142965.47999999998,49.21850695951219,142965.47999999998,49.21850695951219,0.0,0.0,0.0,7.3,12.3,Y,N
2015-07-18,130187.44500000004,44.09776708038166,130187.44500000004,44.09776708038166,0.0,0.0,0.0,6.1,11.5,Y,N
2015-07-19,131141.35500000004,43.57342247950693,131141.35500000004,43.57342247950693,0.0,0.0,0.0,0.6,12.1,Y,N
2015-07-20,146154.37000000002,41.79671269083503,146154.37000000002,41.79671269083503,0.0,0.0,0.0,1.8,14.7,Y,N
2015-07-21,138931.81,28.895489680513055,138931.81,28.895489680513055,0.0,0.0,0.0,4.2,17.0,Y,N
2015-07-22,138418.835,33.70727752043283,138418.835,33.70727752043283,0.0,0.0,0.0,11.4,16.6,Y,N
2015-07-23,142316.29499999995,33.975184837407426,142316.29499999995,33.975184837407426,0.0,0.0,0.0,5.1,16.1,Y,N
2015-07-24,136837.15500000003,27.669824495035723,136837.15500000003,27.669824495035723,0.0,0.0,0.0,7.6,15.0,Y,N
